direction	spBLEU	chrF++	len_ratio
lij_Latn-uzn_Latn	23.37	43.30	0.998
tso_Latn-aka_Latn	9.33	31.42	0.873
spa_Latn-prs_Arab	20.08	42.07	1.042
srp_Cyrl-bem_Latn	9.47	34.25	0.949
kam_Latn-nya_Latn	6.17	26.31	0.824
snd_Arab-ita_Latn	24.79	46.76	0.933
kan_Knda-swh_Latn	25.56	49.33	0.985
lus_Latn-slv_Latn	13.50	33.10	0.984
kea_Latn-xho_Latn	19.21	42.39	1.034
ssw_Latn-mos_Latn	4.03	20.50	1.033
ban_Latn-cat_Latn	28.64	48.56	0.986
srd_Latn-pan_Guru	27.42	41.49	0.958
azb_Arab-tpi_Latn	9.57	34.07	0.858
kon_Latn-ukr_Cyrl	14.49	31.51	0.895
lao_Laoo-hrv_Latn	22.97	44.03	0.978
zho_Hant-ast_Latn	8.87	30.30	1.214
som_Latn-lua_Latn	7.36	31.98	1.057
mni_Beng-asm_Beng	15.02	28.61	1.021
ssw_Latn-mkd_Cyrl	19.11	39.21	0.894
tha_Thai-amh_Ethi	20.17	29.03	1.038
lao_Laoo-pbt_Arab	15.61	32.29	1.019
vie_Latn-yue_Hant	10.24	13.32	0.929
lus_Latn-fra_Latn	19.79	38.07	0.960
kon_Latn-deu_Latn	15.96	36.05	0.896
knc_Latn-amh_Ethi	9.19	16.98	1.120
ars_Arab-swe_Latn	30.13	51.25	1.004
ace_Latn-mri_Latn	14.38	36.35	0.953
kor_Hang-taq_Latn	3.15	20.23	0.960
fra_Latn-tha_Thai	29.15	37.89	0.917
hun_Latn-tam_Taml	26.32	44.78	0.975
scn_Latn-crh_Latn	18.03	38.16	0.969
ewe_Latn-run_Latn	10.57	30.81	0.984
mag_Deva-tzm_Tfng	17.45	28.78	1.034
deu_Latn-zsm_Latn	32.09	56.88	1.005
kin_Latn-lao_Laoo	20.01	37.25	0.904
slv_Latn-fuv_Latn	3.61	20.58	1.134
isl_Latn-tat_Cyrl	20.03	38.14	0.928
ssw_Latn-ydd_Hebr	7.92	26.94	0.956
tum_Latn-sin_Sinh	17.53	27.11	0.920
rus_Cyrl-bho_Deva	15.49	34.20	0.981
zsm_Latn-pol_Latn	24.39	42.13	0.938
urd_Arab-amh_Ethi	22.82	32.10	1.034
ydd_Hebr-shn_Mymr	11.29	30.52	0.981
gla_Latn-kaz_Cyrl	19.75	38.87	0.973
dzo_Tibt-ajp_Arab	10.65	26.45	1.006
ceb_Latn-pol_Latn	24.01	41.64	0.956
kas_Arab-ary_Arab	13.72	30.00	0.963
taq_Latn-tgk_Cyrl	8.99	24.80	0.960
uzn_Latn-heb_Hebr	26.65	43.06	0.982
ces_Latn-pan_Guru	27.83	41.46	0.980
cat_Latn-tso_Latn	19.69	45.01	1.043
nld_Latn-kea_Latn	17.30	38.95	0.975
bem_Latn-mal_Mlym	18.48	33.14	0.934
ukr_Cyrl-acm_Arab	7.59	23.83	1.648
ory_Orya-bug_Latn	5.84	28.64	1.060
afr_Latn-crh_Latn	21.17	41.29	0.955
fij_Latn-tam_Taml	15.61	32.85	0.890
tgk_Cyrl-war_Latn	21.46	46.96	0.986
mar_Deva-ita_Latn	26.51	47.86	0.937
hin_Deva-fur_Latn	27.34	47.12	0.973
kmb_Latn-kbp_Latn	7.44	23.70	0.944
fao_Latn-kon_Latn	13.78	39.72	1.033
crh_Latn-arb_Arab	26.43	42.81	0.963
awa_Deva-cym_Latn	31.08	49.24	0.997
nya_Latn-ltz_Latn	17.18	37.04	0.952
tgl_Latn-srd_Latn	27.64	48.96	1.016
pol_Latn-cym_Latn	27.77	46.23	1.007
hrv_Latn-uig_Arab	13.42	29.08	1.036
luo_Latn-bul_Cyrl	19.39	37.39	0.941
fuv_Latn-urd_Arab	7.95	23.47	1.080
azb_Arab-kaz_Cyrl	13.44	32.51	0.982
jav_Latn-mal_Mlym	26.98	41.88	0.935
mar_Deva-pap_Latn	22.85	45.13	0.961
som_Latn-swh_Latn	22.75	46.14	0.946
san_Deva-bjn_Arab	4.17	16.41	1.169
luo_Latn-wol_Latn	5.83	22.05	1.051
lug_Latn-mya_Mymr	9.27	22.70	0.796
lij_Latn-scn_Latn	16.32	39.57	0.989
ell_Grek-als_Latn	28.99	49.45	0.954
lij_Latn-mni_Beng	20.24	32.85	1.042
sin_Sinh-gaz_Latn	8.37	32.28	1.019
kan_Knda-lua_Latn	6.90	32.44	1.090
bos_Latn-pol_Latn	27.13	44.65	0.938
ban_Latn-als_Latn	23.05	44.17	0.950
sin_Sinh-apc_Arab	21.49	37.33	0.963
pap_Latn-gle_Latn	27.96	47.82	0.982
grn_Latn-lua_Latn	6.66	30.82	1.100
mya_Mymr-hun_Latn	21.35	40.71	0.973
mlt_Latn-ban_Latn	14.36	40.02	1.060
glg_Latn-twi_Latn	11.95	34.31	0.994
bul_Cyrl-tir_Ethi	13.20	22.04	1.043
nya_Latn-lmo_Latn	5.70	24.64	0.887
pan_Guru-cjk_Latn	2.32	21.54	1.067
snd_Arab-amh_Ethi	23.60	33.25	1.033
smo_Latn-taq_Tfng	6.14	17.19	0.944
kat_Geor-tpi_Latn	13.17	38.61	0.847
bjn_Latn-ydd_Hebr	10.37	30.39	0.981
dyu_Latn-ajp_Arab	5.87	18.84	1.135
jav_Latn-tel_Telu	27.40	43.59	0.977
knc_Arab-kat_Geor	3.52	14.68	0.989
apc_Arab-asm_Beng	16.54	31.59	1.009
war_Latn-ibo_Latn	14.85	35.74	1.079
crh_Latn-tsn_Latn	18.41	42.21	0.990
fon_Latn-ary_Arab	3.97	17.30	1.355
ayr_Latn-ace_Arab	2.73	12.45	1.083
hne_Deva-amh_Ethi	25.49	34.56	1.038
war_Latn-bjn_Latn	16.69	41.47	1.016
swh_Latn-fij_Latn	20.01	44.08	0.955
vec_Latn-ace_Arab	6.30	18.80	1.084
nus_Latn-lit_Latn	9.41	28.23	0.985
ast_Latn-fon_Latn	4.17	17.36	1.204
lus_Latn-plt_Latn	12.12	35.47	0.977
pap_Latn-bug_Latn	7.22	30.48	1.013
knc_Latn-ita_Latn	10.36	30.23	1.016
tha_Thai-ita_Latn	23.33	44.97	0.952
san_Deva-isl_Latn	15.04	33.04	0.959
ltz_Latn-taq_Latn	4.05	21.52	0.963
asm_Beng-mni_Beng	20.34	32.09	0.999
swe_Latn-cat_Latn	38.14	57.36	0.976
asm_Beng-scn_Latn	7.94	29.71	0.939
por_Latn-ydd_Hebr	12.13	32.89	1.014
tur_Latn-ckb_Arab	17.96	39.65	1.032
arz_Arab-fon_Latn	4.30	19.03	1.107
umb_Latn-tpi_Latn	7.82	30.50	0.767
sot_Latn-glg_Latn	26.57	47.56	0.941
mos_Latn-swh_Latn	9.81	30.83	1.014
quy_Latn-khk_Cyrl	7.79	22.50	0.961
taq_Latn-hne_Deva	7.57	21.01	1.119
hin_Deva-kan_Knda	31.69	47.25	0.964
cjk_Latn-bjn_Latn	5.98	26.38	1.028
cat_Latn-ell_Grek	32.28	47.09	0.931
knc_Latn-pap_Latn	9.90	30.24	1.085
als_Latn-bod_Tibt	5.50	26.64	1.069
uzn_Latn-eus_Latn	11.72	32.71	0.851
fuv_Latn-prs_Arab	7.12	24.32	1.050
eus_Latn-hrv_Latn	24.06	44.92	0.939
apc_Arab-plt_Latn	18.67	45.52	1.036
wol_Latn-kas_Arab	7.69	19.14	1.021
eus_Latn-pbt_Arab	14.93	31.59	1.001
bak_Cyrl-kik_Latn	10.60	32.42	0.969
bak_Cyrl-snd_Arab	20.27	38.02	0.988
swh_Latn-mkd_Cyrl	28.65	49.26	0.941
dan_Latn-quy_Latn	4.27	26.51	1.068
srp_Cyrl-pag_Latn	14.59	42.51	1.172
srd_Latn-npi_Deva	22.84	41.33	1.003
swh_Latn-mos_Latn	4.83	22.65	1.080
tha_Thai-pap_Latn	20.65	42.71	0.979
cjk_Latn-ibo_Latn	6.82	23.00	1.033
fra_Latn-cym_Latn	36.31	53.81	1.005
ckb_Arab-zsm_Latn	26.32	52.04	0.973
gle_Latn-yor_Latn	9.26	23.96	1.126
ory_Orya-gle_Latn	23.62	43.95	0.968
lus_Latn-asm_Beng	11.81	24.11	0.995
bem_Latn-tel_Telu	19.97	34.80	0.982
nso_Latn-glg_Latn	24.33	45.57	0.929
mni_Beng-slv_Latn	16.99	38.07	1.001
sin_Sinh-bam_Latn	6.50	27.02	1.039
uig_Arab-kir_Cyrl	18.36	36.36	0.971
ace_Arab-lin_Latn	6.41	30.19	1.181
aka_Latn-kin_Latn	13.11	35.38	1.022
taq_Tfng-sin_Sinh	7.64	16.55	0.955
mni_Beng-fra_Latn	26.27	45.61	0.980
bel_Cyrl-glg_Latn	21.73	45.11	0.981
swe_Latn-dzo_Tibt	9.07	31.05	1.050
mni_Beng-hye_Armn	21.01	36.35	0.949
som_Latn-fin_Latn	17.69	38.78	0.905
fin_Latn-zho_Hans	19.81	17.65	0.810
lin_Latn-prs_Arab	16.08	35.71	0.975
lus_Latn-crh_Latn	10.37	29.12	0.940
tel_Telu-ary_Arab	13.10	30.12	1.075
kam_Latn-azb_Arab	1.98	14.78	1.081
twi_Latn-zul_Latn	15.00	35.66	0.962
als_Latn-kaz_Cyrl	25.74	44.78	0.985
deu_Latn-kas_Deva	4.13	16.25	0.934
kon_Latn-pol_Latn	14.11	30.95	0.888
jpn_Jpan-run_Latn	12.41	35.22	1.078
awa_Deva-arz_Arab	21.86	37.45	1.007
gle_Latn-mri_Latn	18.53	41.80	0.967
knc_Arab-nob_Latn	2.09	15.52	1.043
kas_Deva-ibo_Latn	9.56	29.39	1.076
kas_Deva-bjn_Latn	9.51	34.54	1.046
zho_Hant-khm_Khmr	10.90	27.19	1.038
dan_Latn-som_Latn	13.56	37.62	1.016
urd_Arab-mar_Deva	21.73	40.38	0.982
bho_Deva-taq_Latn	3.36	20.80	0.992
swe_Latn-isl_Latn	27.24	45.18	0.970
san_Deva-cat_Latn	21.37	41.64	0.984
srd_Latn-aeb_Arab	15.71	32.59	1.104
ary_Arab-hin_Deva	21.90	40.50	0.959
sin_Sinh-lij_Latn	18.62	36.85	0.997
zho_Hans-pag_Latn	12.72	40.08	1.187
tso_Latn-oci_Latn	21.96	40.64	0.896
kmb_Latn-umb_Latn	3.09	23.40	0.834
heb_Hebr-war_Latn	24.12	49.41	0.989
ckb_Arab-mai_Deva	12.75	32.42	0.995
mar_Deva-sot_Latn	14.71	40.40	0.980
sag_Latn-gle_Latn	9.42	27.63	0.991
ron_Latn-azj_Latn	21.53	40.46	0.929
kat_Geor-dyu_Latn	1.38	15.47	0.981
bjn_Latn-xho_Latn	18.00	40.68	1.010
tir_Ethi-pbt_Arab	12.86	28.91	0.970
kam_Latn-zho_Hant	5.96	8.38	0.751
oci_Latn-hun_Latn	30.90	50.55	1.015
smo_Latn-srd_Latn	20.82	41.88	1.003
cat_Latn-knc_Arab	4.25	9.51	1.178
spa_Latn-twi_Latn	11.33	33.95	0.995
zho_Hant-kac_Latn	7.25	31.52	1.284
dik_Latn-lit_Latn	7.23	23.47	0.928
tir_Ethi-hrv_Latn	16.67	37.75	0.938
ydd_Hebr-fur_Latn	28.27	47.62	0.997
est_Latn-tat_Cyrl	25.49	43.74	0.956
zho_Hans-srp_Cyrl	22.44	42.85	0.980
kam_Latn-grn_Latn	4.27	19.56	0.939
hye_Armn-sin_Sinh	29.36	38.39	0.962
uig_Arab-ind_Latn	23.82	49.13	0.954
ckb_Arab-tur_Latn	23.34	43.78	0.955
pol_Latn-arz_Arab	18.14	34.49	1.086
mai_Deva-san_Deva	7.44	25.71	1.044
epo_Latn-ory_Orya	23.98	39.45	0.946
ind_Latn-hin_Deva	29.47	47.72	0.979
sin_Sinh-vec_Latn	12.30	36.96	0.930
apc_Arab-crh_Latn	16.67	38.86	0.974
dzo_Tibt-snd_Arab	12.50	28.26	0.975
dzo_Tibt-kik_Latn	6.77	27.48	0.953
grn_Latn-hne_Deva	13.42	29.69	0.996
bjn_Arab-ace_Arab	7.70	20.20	0.997
knc_Latn-ltg_Latn	7.53	26.28	1.127
sin_Sinh-rus_Cyrl	27.52	44.89	0.926
nno_Latn-ary_Arab	13.41	30.60	1.076
tha_Thai-ltg_Latn	17.55	37.30	1.018
crh_Latn-ars_Arab	24.90	40.63	0.938
umb_Latn-dyu_Latn	1.14	13.37	0.751
mal_Mlym-fon_Latn	3.45	17.21	1.289
pbt_Arab-khk_Cyrl	17.08	35.07	0.999
por_Latn-xho_Latn	19.72	43.73	1.027
kan_Knda-hne_Deva	21.73	41.19	0.964
san_Deva-dzo_Tibt	7.10	28.80	1.090
hin_Deva-shn_Mymr	11.89	31.25	0.942
slk_Latn-hun_Latn	28.16	47.61	0.977
plt_Latn-bho_Deva	14.17	31.88	0.943
knc_Arab-lug_Latn	1.13	15.32	1.260
kea_Latn-fij_Latn	19.10	42.98	0.993
lin_Latn-urd_Arab	16.85	34.60	0.969
ltg_Latn-kea_Latn	18.46	41.09	1.018
deu_Latn-tur_Latn	30.54	49.57	0.978
ary_Arab-eng_Latn	33.92	54.59	0.974
sag_Latn-bug_Latn	4.03	23.31	1.051
aka_Latn-gla_Latn	12.50	34.54	1.033
hrv_Latn-acq_Arab	20.63	36.72	0.931
bug_Latn-bos_Latn	14.71	34.39	0.931
fur_Latn-mni_Beng	20.45	33.17	1.035
azb_Arab-bod_Tibt	3.34	22.59	1.170
run_Latn-khk_Cyrl	13.16	29.72	0.917
fur_Latn-scn_Latn	16.70	40.13	0.983
bam_Latn-vie_Latn	16.13	33.13	0.976
sin_Sinh-nso_Latn	17.01	42.80	1.040
afr_Latn-plt_Latn	21.86	47.43	1.009
fao_Latn-ilo_Latn	18.11	43.20	0.969
lmo_Latn-kea_Latn	22.02	43.78	0.996
ajp_Arab-spa_Latn	23.66	46.89	0.924
lvs_Latn-tat_Cyrl	25.40	43.76	0.966
bug_Latn-awa_Deva	10.14	25.13	1.060
mag_Deva-ace_Latn	8.66	34.06	0.918
taq_Latn-lua_Latn	4.38	25.79	1.111
nob_Latn-vie_Latn	31.76	50.42	0.972
snd_Arab-mar_Deva	23.30	41.86	0.979
vie_Latn-lin_Latn	17.03	44.75	1.074
epo_Latn-lvs_Latn	26.48	48.05	0.960
bak_Cyrl-ajp_Arab	20.89	37.50	1.003
knc_Latn-sot_Latn	7.90	30.10	1.061
bul_Cyrl-kmb_Latn	3.08	23.55	0.938
kmr_Latn-est_Latn	17.21	38.94	0.937
scn_Latn-plt_Latn	19.16	44.60	1.017
tuk_Latn-mya_Mymr	11.11	24.65	0.854
hne_Deva-mar_Deva	25.84	43.66	0.981
tha_Thai-sot_Latn	13.92	39.13	0.992
acm_Arab-lit_Latn	19.95	43.22	1.004
ssw_Latn-xho_Latn	14.20	35.94	0.926
fra_Latn-arz_Arab	20.37	37.07	1.124
kea_Latn-mos_Latn	4.47	21.77	1.126
gla_Latn-bod_Tibt	4.32	24.41	1.090
ckb_Arab-kas_Deva	3.67	15.38	0.940
grn_Latn-tgk_Cyrl	17.06	34.22	0.900
kea_Latn-mkd_Cyrl	30.14	50.70	0.964
wol_Latn-min_Latn	9.98	32.06	1.048
yue_Hant-azj_Latn	17.73	36.36	0.903
tsn_Latn-azj_Latn	15.00	32.97	0.892
ydd_Hebr-kan_Knda	26.84	43.67	0.986
wol_Latn-fao_Latn	10.65	29.21	0.994
ibo_Latn-yue_Hant	8.82	11.45	0.922
swe_Latn-bjn_Arab	6.67	19.62	1.100
ind_Latn-eng_Latn	49.40	67.31	0.981
kan_Knda-tgk_Cyrl	24.55	41.53	0.916
afr_Latn-asm_Beng	19.86	34.27	1.006
mos_Latn-fin_Latn	7.51	26.25	0.926
xho_Latn-bho_Deva	14.72	31.98	0.938
lua_Latn-sin_Sinh	16.73	25.78	0.887
pan_Guru-smo_Latn	22.49	46.01	0.960
tso_Latn-nya_Latn	13.50	39.11	0.999
deu_Latn-mai_Deva	16.66	36.66	1.020
scn_Latn-asm_Beng	16.35	30.62	1.011
kam_Latn-aka_Latn	5.89	23.98	0.852
ace_Latn-ckb_Arab	12.88	31.67	1.016
tgl_Latn-taq_Tfng	6.84	18.07	0.965
kbp_Latn-hun_Latn	11.77	28.81	0.988
mai_Deva-luo_Latn	11.43	35.38	1.007
min_Latn-ban_Latn	14.50	40.27	1.050
dyu_Latn-kik_Latn	4.62	22.03	0.882
dyu_Latn-snd_Arab	6.34	18.92	1.095
hrv_Latn-knc_Latn	5.00	22.73	1.135
mar_Deva-ltg_Latn	19.24	38.99	1.014
knc_Arab-kam_Latn	1.11	16.35	1.273
pan_Guru-mlt_Latn	32.77	50.09	1.000
mni_Beng-crh_Latn	13.87	33.83	0.981
bam_Latn-tso_Latn	10.76	33.37	1.030
ory_Orya-kas_Arab	14.56	29.30	0.988
hne_Deva-ltg_Latn	21.68	42.19	1.030
lus_Latn-hye_Armn	16.53	30.48	0.923
jpn_Jpan-ltz_Latn	19.13	40.13	0.984
acm_Arab-bam_Latn	5.89	27.32	1.050
eng_Latn-gla_Latn	25.89	48.30	0.962
hin_Deva-bos_Latn	26.45	47.41	0.952
pan_Guru-lvs_Latn	21.28	43.53	0.975
kon_Latn-mag_Deva	12.67	28.13	1.004
taq_Latn-swh_Latn	9.57	29.81	0.992
jav_Latn-glg_Latn	25.82	47.43	0.931
fur_Latn-uzn_Latn	23.60	43.41	0.995
sun_Latn-eus_Latn	14.57	35.16	0.846
mos_Latn-hne_Deva	7.17	20.58	1.094
bos_Latn-por_Latn	38.26	57.43	0.997
snd_Arab-ltg_Latn	20.15	39.61	1.009
hin_Deva-awa_Deva	20.07	38.90	1.010
hrv_Latn-som_Latn	12.38	36.02	0.990
gaz_Latn-bjn_Latn	10.75	34.99	1.013
wol_Latn-gle_Latn	12.71	31.72	0.998
smo_Latn-ban_Latn	10.28	34.03	1.056
heb_Hebr-afr_Latn	31.76	54.37	0.979
yor_Latn-kin_Latn	12.97	34.82	1.003
azb_Arab-dyu_Latn	1.11	14.76	0.938
sot_Latn-tel_Telu	26.29	41.77	0.988
kea_Latn-ydd_Hebr	10.90	31.29	0.992
run_Latn-nld_Latn	18.97	40.37	0.953
kmb_Latn-hun_Latn	10.46	27.09	0.952
tel_Telu-hin_Deva	30.67	48.56	0.961
zho_Hans-bem_Latn	7.51	32.03	1.049
ceb_Latn-tum_Latn	12.88	35.23	0.844
tat_Cyrl-sna_Latn	13.96	38.03	0.970
nob_Latn-tso_Latn	19.35	44.03	1.024
ars_Arab-hau_Latn	15.63	42.36	1.043
zsm_Latn-tum_Latn	11.95	34.16	0.812
bos_Latn-sag_Latn	9.77	34.82	1.008
ace_Latn-yor_Latn	8.01	21.62	1.119
gaz_Latn-ibo_Latn	12.00	32.17	1.016
epo_Latn-mlt_Latn	38.74	54.05	0.985
bos_Latn-tum_Latn	11.50	33.82	0.816
nus_Latn-nso_Latn	11.49	34.17	1.036
zsm_Latn-sag_Latn	10.18	34.84	0.980
khk_Cyrl-zho_Hans	17.93	16.56	0.880
nno_Latn-hin_Deva	27.69	45.99	0.975
hau_Latn-ibo_Latn	15.66	35.50	1.008
fur_Latn-dik_Latn	4.06	21.61	1.430
jpn_Jpan-lmo_Latn	4.78	25.12	0.915
urd_Arab-sot_Latn	14.23	39.95	0.968
fuv_Latn-twi_Latn	6.34	25.02	1.017
ceb_Latn-sag_Latn	10.21	35.28	1.020
hau_Latn-bjn_Latn	13.86	38.17	1.003
tsn_Latn-ars_Arab	19.28	34.15	0.985
ell_Grek-isl_Latn	22.67	40.86	0.978
yue_Hant-ars_Arab	20.26	36.49	0.910
som_Latn-tgk_Cyrl	20.12	37.60	0.897
epo_Latn-smo_Latn	22.92	46.69	0.936
asm_Beng-pes_Arab	20.68	38.65	0.967
bod_Tibt-ben_Beng	11.68	26.63	0.994
oci_Latn-umb_Latn	3.18	25.25	0.986
ind_Latn-ary_Arab	12.02	29.82	1.168
tam_Taml-kin_Latn	15.78	40.63	1.066
ukr_Cyrl-kas_Deva	3.79	15.67	0.948
mya_Mymr-kbp_Latn	7.16	23.63	1.070
ban_Latn-isl_Latn	20.66	38.19	0.967
zsm_Latn-por_Latn	36.84	55.99	0.984
tpi_Latn-taq_Latn	4.00	20.74	0.981
apc_Arab-hye_Armn	26.27	43.47	0.957
lij_Latn-sat_Beng	16.06	24.77	0.954
run_Latn-jav_Latn	14.70	38.03	0.952
slk_Latn-umb_Latn	2.30	22.72	0.848
ceb_Latn-por_Latn	37.88	56.10	0.988
bel_Cyrl-tel_Telu	21.76	37.78	1.028
dik_Latn-gaz_Latn	3.65	22.30	0.991
glg_Latn-urd_Arab	23.62	42.81	1.011
arb_Arab-kin_Latn	18.54	43.74	1.059
amh_Ethi-ayr_Latn	5.92	28.17	1.037
azj_Latn-fuv_Latn	2.57	18.93	1.186
bem_Latn-glg_Latn	20.28	40.89	0.941
nso_Latn-tel_Telu	24.81	40.53	0.983
gla_Latn-dyu_Latn	1.91	15.44	0.862
dik_Latn-apc_Arab	7.47	20.32	1.059
aeb_Arab-spa_Latn	21.45	45.03	0.936
bos_Latn-deu_Latn	35.47	54.88	0.965
dan_Latn-acq_Arab	22.67	38.67	0.955
ban_Latn-bjn_Arab	7.51	20.65	1.125
pap_Latn-kas_Arab	13.59	28.08	0.989
pbt_Arab-jav_Latn	16.52	42.02	0.994
kan_Knda-fin_Latn	21.39	43.03	0.948
tgk_Cyrl-ces_Latn	26.64	44.54	0.983
asm_Beng-sat_Beng	17.08	25.52	0.945
urd_Arab-ltg_Latn	19.25	39.11	1.019
khm_Khmr-fon_Latn	4.61	18.43	1.154
tel_Telu-eng_Latn	46.81	65.39	0.963
acm_Arab-apc_Arab	26.66	43.18	1.013
zsm_Latn-kor_Hang	20.70	29.02	0.977
grn_Latn-fin_Latn	15.35	35.76	0.902
ukr_Cyrl-mai_Deva	14.52	34.49	1.030
ceb_Latn-kor_Hang	19.15	27.50	1.008
bos_Latn-ukr_Cyrl	31.69	49.46	0.952
min_Latn-srd_Latn	22.06	44.01	1.014
srp_Cyrl-bak_Cyrl	26.80	44.79	0.954
acm_Arab-gaz_Latn	7.43	31.72	1.039
tur_Latn-mri_Latn	18.54	41.68	0.959
twi_Latn-ewe_Latn	10.40	30.93	1.050
lit_Latn-ayr_Latn	6.23	28.44	1.040
ace_Arab-yue_Hant	4.62	6.37	1.071
bel_Cyrl-mal_Mlym	22.14	36.67	0.984
sag_Latn-min_Latn	7.53	28.76	1.080
lug_Latn-ron_Latn	17.50	36.00	0.896
nus_Latn-rus_Cyrl	11.69	28.65	0.963
sag_Latn-fao_Latn	7.96	25.50	0.974
kaz_Cyrl-fon_Latn	4.20	17.64	1.124
als_Latn-tpi_Latn	15.72	40.80	0.848
ell_Grek-bjn_Arab	5.22	17.91	1.123
npi_Deva-bho_Deva	18.59	37.51	0.937
bjn_Arab-nno_Latn	7.74	28.07	1.032
lij_Latn-pes_Arab	25.37	42.87	1.006
hat_Latn-gla_Latn	19.19	41.84	0.955
nus_Latn-vec_Latn	7.25	26.73	1.007
nso_Latn-mal_Mlym	23.50	38.48	0.933
zho_Hant-epo_Latn	21.75	44.77	1.062
kin_Latn-sun_Latn	16.97	40.03	0.990
mos_Latn-tgk_Cyrl	9.18	24.95	0.921
san_Deva-als_Latn	17.64	38.98	0.941
cym_Latn-tzm_Tfng	17.47	28.39	1.019
kir_Cyrl-ssw_Latn	11.29	34.40	0.973
heb_Hebr-ceb_Latn	25.22	51.19	1.016
pbt_Arab-nld_Latn	22.35	44.52	0.984
knc_Arab-kab_Latn	1.55	13.25	0.996
ron_Latn-ars_Arab	28.10	43.49	0.948
umb_Latn-bod_Tibt	2.91	21.02	1.041
tha_Thai-mar_Deva	17.68	35.93	0.983
afr_Latn-fra_Latn	46.17	62.35	0.976
hne_Deva-sot_Latn	15.34	41.13	0.981
nob_Latn-ell_Grek	27.55	43.07	0.916
mlt_Latn-taq_Tfng	6.67	17.93	0.959
knc_Latn-mar_Deva	9.38	24.83	1.036
shn_Mymr-tzm_Tfng	12.71	24.70	1.071
snd_Arab-sot_Latn	15.16	40.56	0.963
pan_Guru-ory_Orya	27.34	43.46	0.987
afr_Latn-slv_Latn	30.19	50.41	0.975
lug_Latn-kmr_Latn	9.07	26.92	0.955
pes_Arab-spa_Latn	25.18	47.65	0.941
kmr_Latn-szl_Latn	15.72	32.79	0.983
zsm_Latn-ukr_Cyrl	27.38	45.60	0.952
kbp_Latn-umb_Latn	2.23	21.71	0.854
wol_Latn-bug_Latn	5.33	25.74	1.059
bos_Latn-kor_Hang	20.66	28.79	0.958
nus_Latn-lij_Latn	9.86	26.06	1.133
dan_Latn-knc_Latn	5.23	23.37	1.183
ceb_Latn-ukr_Cyrl	26.36	44.55	0.954
prs_Arab-kin_Latn	15.94	40.82	1.065
scn_Latn-slv_Latn	24.49	45.34	0.973
sot_Latn-mal_Mlym	23.79	38.78	0.944
bam_Latn-ell_Grek	14.50	29.40	0.949
ceb_Latn-deu_Latn	31.64	51.49	0.976
ces_Latn-aeb_Arab	11.43	28.45	1.263
tat_Cyrl-hau_Latn	16.95	41.11	0.992
ukr_Cyrl-tur_Latn	27.86	47.59	0.964
nno_Latn-eng_Latn	48.92	67.01	1.008
som_Latn-hne_Deva	15.27	33.80	0.940
crh_Latn-azj_Latn	20.42	39.75	0.913
kat_Geor-bod_Tibt	5.36	26.15	1.094
ars_Arab-sna_Latn	13.14	37.93	0.999
scn_Latn-fra_Latn	37.98	55.94	0.956
swh_Latn-xho_Latn	18.36	42.16	1.008
kac_Latn-kin_Latn	9.75	32.01	1.063
glg_Latn-prs_Arab	23.56	45.07	1.025
bug_Latn-shn_Mymr	8.90	27.64	0.910
sun_Latn-heb_Hebr	27.18	42.82	0.984
dik_Latn-bam_Latn	4.76	20.84	1.011
bjn_Arab-tuk_Latn	6.04	22.85	1.068
zsm_Latn-deu_Latn	32.14	52.16	0.955
ind_Latn-ory_Orya	25.60	41.16	0.983
bod_Tibt-ell_Grek	13.04	28.52	0.929
lit_Latn-swh_Latn	23.84	47.84	1.001
als_Latn-san_Deva	5.37	22.92	1.068
snd_Arab-sin_Sinh	30.75	39.88	0.955
oci_Latn-ewe_Latn	12.85	35.99	1.113
epo_Latn-hin_Deva	30.24	48.43	0.975
ckb_Arab-lin_Latn	16.13	43.58	1.048
sag_Latn-tir_Ethi	6.68	12.84	0.993
bjn_Arab-ban_Latn	6.75	30.24	1.135
tgk_Cyrl-dzo_Tibt	8.24	30.37	1.096
kam_Latn-nso_Latn	8.94	30.25	0.947
ibo_Latn-acm_Arab	2.74	14.72	1.869
isl_Latn-lao_Laoo	20.47	37.15	0.925
kin_Latn-tat_Cyrl	20.22	38.38	0.946
nno_Latn-mlt_Latn	34.81	51.36	0.985
hne_Deva-sin_Sinh	32.98	41.41	0.969
bho_Deva-mal_Mlym	26.94	40.89	0.965
bak_Cyrl-ron_Latn	29.10	48.32	0.962
kon_Latn-heb_Hebr	16.34	31.40	0.945
khk_Cyrl-ast_Latn	15.61	37.66	1.000
khm_Khmr-slk_Latn	21.77	41.18	0.984
nno_Latn-smo_Latn	22.58	46.12	0.953
acq_Arab-ita_Latn	25.59	47.99	0.959
mag_Deva-nus_Latn	11.78	26.55	1.133
kaz_Cyrl-slk_Latn	25.88	45.14	0.953
nld_Latn-sna_Latn	14.25	38.17	0.975
heb_Hebr-bjn_Arab	5.77	18.35	1.078
hun_Latn-ibo_Latn	14.34	35.24	1.061
ace_Arab-zsm_Latn	9.02	31.89	1.106
eng_Latn-asm_Beng	22.90	36.93	0.983
hin_Deva-quy_Latn	3.41	24.93	1.064
slk_Latn-ewe_Latn	12.76	35.13	1.047
bug_Latn-uig_Arab	14.78	28.82	0.984
hun_Latn-bjn_Latn	13.83	39.13	1.006
fuv_Latn-arb_Arab	10.05	24.67	1.051
